Code,Name,Alternative code,Formulation,Alternative name,Alternative formulation,Really equivalent?
0401010ADAACZCZ,Melatonin 1mg/ml oral solution sugar free,0401010ADAADEDE,Oral solution,Melatonin 5mg/5ml oral suspension,Oral suspension,Y
0401010ADAACZCZ,Melatonin 1mg/ml oral solution sugar free,0401010ADAACTCT,Oral solution,Melatonin 1mg/ml oral drops,Oral drops,Y
0401010ADAADADA,Melatonin 5mg/5ml oral solution,0401010ADAADEDE,Oral solution,Melatonin 5mg/5ml oral suspension,Oral suspension,Y
0401010ADAADADA,Melatonin 5mg/5ml oral solution,0401010ADAACTCT,Oral solution,Melatonin 1mg/ml oral drops,Oral drops,Y
0401010ADAADADA,Melatonin 5mg/5ml oral solution,0401010ADAACZCZ,Oral solution,Melatonin 1mg/ml oral solution sugar free,Oral solution,Y
0401010ADAADCDC,Melatonin 4mg/5ml oral suspension,0401010ADAABGBG,Oral suspension,Melatonin 4mg/5ml oral solution,Oral solution,Y
0401010ADAADEDE,Melatonin 5mg/5ml oral suspension,0401010ADAADADA,Oral suspension,Melatonin 5mg/5ml oral solution,Oral solution,Y
0401010ADAADEDE,Melatonin 5mg/5ml oral suspension,0401010ADAACTCT,Oral suspension,Melatonin 1mg/ml oral drops,Oral drops,Y
0401010ADAADEDE,Melatonin 5mg/5ml oral suspension,0401010ADAACZCZ,Oral suspension,Melatonin 1mg/ml oral solution sugar free,Oral solution,Y
0401010ADAADFDF,Melatonin 2mg/ml oral solution sugar free,0401010ADAACDCD,Oral solution,Melatonin 10mg/5ml oral solution,Oral solution,Y
0401010ADAADFDF,Melatonin 2mg/ml oral solution sugar free,0401010ADAACECE,Oral solution,Melatonin 10mg/5ml oral suspension,Oral suspension,Y
0401010B0AABGBG,Chloral hydrate 200mg/5ml oral suspension,0401010B0AABXBX,Oral suspension,Chloral hydrate 200mg/5ml oral solution BP,Oral solution,Y
0401010B0AABXBX,Chloral hydrate 200mg/5ml oral solution BP,0401010B0AABGBG,Oral solution,Chloral hydrate 200mg/5ml oral suspension,Oral suspension,Y
0401010R0AAAAAA,Nitrazepam 2.5mg/5ml oral suspension,0401010R0AAAQAQ,Oral suspension,Nitrazepam 2.5mg/5ml oral suspension sugar free,Oral suspension,Y
0401010R0AAAQAQ,Nitrazepam 2.5mg/5ml oral suspension sugar free,0401010R0AAAAAA,Oral suspension,Nitrazepam 2.5mg/5ml oral suspension,Oral suspension,Y
0401010Z0AAAJAJ,Zopiclone 3.75mg/5ml oral solution,0401010Z0AAAKAK,Oral solution,Zopiclone 3.75mg/5ml oral suspension,Oral suspension,Y
0401010Z0AAAKAK,Zopiclone 3.75mg/5ml oral suspension,0401010Z0AAAJAJ,Oral suspension,Zopiclone 3.75mg/5ml oral solution,Oral solution,Y
0401010Z0AAALAL,Zopiclone 7.5mg/5ml oral suspension,0401010Z0AAAMAM,Oral suspension,Zopiclone 7.5mg/5ml oral solution,Oral solution,Y
0401010Z0AAAMAM,Zopiclone 7.5mg/5ml oral solution,0401010Z0AAALAL,Oral solution,Zopiclone 7.5mg/5ml oral suspension,Oral suspension,Y
0401020K0AAAWAW,Diazepam 2mg/5ml oral solution sugar free,0401020K0AACICI,Oral solution,Diazepam 2mg/5ml oral suspension,Oral suspension,Y
0401020K0AACBCB,Diazepam 2.5mg/5ml oral solution,0401020K0AACLCL,Oral solution,Diazepam 2.5mg/5ml oral suspension,Oral suspension,Y
0401020K0AACICI,Diazepam 2mg/5ml oral suspension,0401020K0AAAWAW,Oral suspension,Diazepam 2mg/5ml oral solution sugar free,Oral solution,Y
0401020K0AACLCL,Diazepam 2.5mg/5ml oral suspension,0401020K0AACBCB,Oral suspension,Diazepam 2.5mg/5ml oral solution,Oral solution,Y
0401020P0AABJBJ,Lorazepam 5mg/5ml oral solution,0401020P0AACICI,Oral solution,Lorazepam 1mg/ml oral solution sugar free,Oral solution,Y
0401020P0AABJBJ,Lorazepam 5mg/5ml oral suspension,0401020P0AACICI,Oral suspension,Lorazepam 1mg/ml oral solution sugar free,Oral solution,Y
0401020P0AACDCD,Lorazepam 1mg/5ml oral solution,0401020P0AACECE,Oral solution,Lorazepam 1mg/5ml oral suspension,Oral suspension,Y
0401020P0AACECE,Lorazepam 1mg/5ml oral suspension,0401020P0AACDCD,Oral suspension,Lorazepam 1mg/5ml oral solution,Oral solution,Y
0401020P0AACFCF,Lorazepam 500micrograms/5ml oral solution,0401020P0AACGCG,Oral solution,Lorazepam 500micrograms/5ml oral suspension,Oral suspension,Y
0401020P0AACGCG,Lorazepam 500micrograms/5ml oral suspension,0401020P0AACFCF,Oral suspension,Lorazepam 500micrograms/5ml oral solution,Oral solution,Y
0401020P0AACHCH,Lorazepam 2mg/1ml solution for injection ampoules,0401020P0AACJCJ,Solution for injection,Lorazepam 2mg/1ml solution for injection vials,Solution for injection,Y
0401020P0AACICI,Lorazepam 1mg/ml oral solution sugar free,0401020P0AABJBJ,Oral solution,Lorazepam 5mg/5ml oral solution,Oral solution,Y
0401020P0AACICI,Lorazepam 1mg/ml oral solution sugar free,0401020P0AABJBJ,Oral solution,Lorazepam 5mg/5ml oral suspension,Oral suspension,Y
0401020P0AACJCJ,Lorazepam 2mg/1ml solution for injection vials,0401020P0AACHCH,Solution for injection,Lorazepam 2mg/1ml solution for injection ampoules,Solution for injection,Y
040201030AAAAAA,Risperidone 1mg tablets,040201030AAALAL,Oral tablet,Risperidone 1mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201030AAABAB,Risperidone 2mg tablets,040201030AAAMAM,Oral tablet,Risperidone 2mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201030AAACAC,Risperidone 3mg tablets,040201030AAAPAP,Oral tablet,Risperidone 3mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201030AAADAD,Risperidone 4mg tablets,040201030AAAQAQ,Oral tablet,Risperidone 4mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201030AAAKAK,Risperidone 500microgram tablets,040201030AAANAN,Oral tablet,Risperidone 500microgram orodispersible tablets sugar free,Orodispersible tablet,Y
040201030AAALAL,Risperidone 1mg orodispersible tablets sugar free,040201030AAAAAA,Orodispersible tablet,Risperidone 1mg tablets,Oral tablet,Y
040201030AAAMAM,Risperidone 2mg orodispersible tablets sugar free,040201030AAABAB,Orodispersible tablet,Risperidone 2mg tablets,Oral tablet,Y
040201030AAANAN,Risperidone 500microgram orodispersible tablets sugar free,040201030AAAKAK,Orodispersible tablet,Risperidone 500microgram tablets,Oral tablet,Y
040201030AAAPAP,Risperidone 3mg orodispersible tablets sugar free,040201030AAACAC,Orodispersible tablet,Risperidone 3mg tablets,Oral tablet,Y
040201030AAAQAQ,Risperidone 4mg orodispersible tablets sugar free,040201030AAADAD,Orodispersible tablet,Risperidone 4mg tablets,Oral tablet,Y
040201060AAAAAA,Olanzapine 5mg tablets,040201060AAAEAE,Oral tablet,Olanzapine 5mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAAAA,Olanzapine 5mg tablets,040201060AAASAS,Oral tablet,Olanzapine 5mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAAAA,Olanzapine 5mg tablets,040201060AAAWAW,Oral tablet,Olanzapine 5mg orodispersible tablets,Orodispersible tablet,Y
040201060AAACAC,Olanzapine 10mg tablets,040201060AAAFAF,Oral tablet,Olanzapine 10mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAACAC,Olanzapine 10mg tablets,040201060AAATAT,Oral tablet,Olanzapine 10mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAACAC,Olanzapine 10mg tablets,040201060AAAXAX,Oral tablet,Olanzapine 10mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAEAE,Olanzapine 5mg oral lyophilisates sugar free,040201060AAAAAA,Oral lyophilisate,Olanzapine 5mg tablets,Oral tablet,Y
040201060AAAEAE,Olanzapine 5mg oral lyophilisates sugar free,040201060AAASAS,Oral lyophilisate,Olanzapine 5mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAEAE,Olanzapine 5mg oral lyophilisates sugar free,040201060AAAWAW,Oral lyophilisate,Olanzapine 5mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAFAF,Olanzapine 10mg oral lyophilisates sugar free,040201060AAACAC,Oral lyophilisate,Olanzapine 10mg tablets,Oral tablet,Y
040201060AAAFAF,Olanzapine 10mg oral lyophilisates sugar free,040201060AAATAT,Oral lyophilisate,Olanzapine 10mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAFAF,Olanzapine 10mg oral lyophilisates sugar free,040201060AAAXAX,Oral lyophilisate,Olanzapine 10mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAIAI,Olanzapine 2.5mg/5ml oral solution,040201060AABABA,Oral solution,Olanzapine 2.5mg/5ml oral suspension,Oral suspension,Y
040201060AAAKAK,Olanzapine 15mg oral lyophilisates sugar free,040201060AAALAL,Oral lyophilisate,Olanzapine 15mg tablets,Oral tablet,Y
040201060AAAKAK,Olanzapine 15mg oral lyophilisates sugar free,040201060AAAUAU,Oral lyophilisate,Olanzapine 15mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAKAK,Olanzapine 15mg oral lyophilisates sugar free,040201060AAAYAY,Oral lyophilisate,Olanzapine 15mg orodispersible tablets,Orodispersible tablet,Y
040201060AAALAL,Olanzapine 15mg tablets,040201060AAAKAK,Oral tablet,Olanzapine 15mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAALAL,Olanzapine 15mg tablets,040201060AAAUAU,Oral tablet,Olanzapine 15mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAALAL,Olanzapine 15mg tablets,040201060AAAYAY,Oral tablet,Olanzapine 15mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAPAP,Olanzapine 20mg oral lyophilisates sugar free,040201060AAAQAQ,Oral lyophilisate,Olanzapine 20mg tablets,Oral tablet,Y
040201060AAAPAP,Olanzapine 20mg oral lyophilisates sugar free,040201060AAAVAV,Oral lyophilisate,Olanzapine 20mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAPAP,Olanzapine 20mg oral lyophilisates sugar free,040201060AAAZAZ,Oral lyophilisate,Olanzapine 20mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAQAQ,Olanzapine 20mg tablets,040201060AAAPAP,Oral tablet,Olanzapine 20mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAQAQ,Olanzapine 20mg tablets,040201060AAAVAV,Oral tablet,Olanzapine 20mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAQAQ,Olanzapine 20mg tablets,040201060AAAZAZ,Oral tablet,Olanzapine 20mg orodispersible tablets,Orodispersible tablet,Y
040201060AAASAS,Olanzapine 5mg orodispersible tablets sugar free,040201060AAAAAA,Orodispersible tablet,Olanzapine 5mg tablets,Oral tablet,Y
040201060AAASAS,Olanzapine 5mg orodispersible tablets sugar free,040201060AAAEAE,Orodispersible tablet,Olanzapine 5mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAASAS,Olanzapine 5mg orodispersible tablets sugar free,040201060AAAWAW,Orodispersible tablet,Olanzapine 5mg orodispersible tablets,Orodispersible tablet,Y
040201060AAATAT,Olanzapine 10mg orodispersible tablets sugar free,040201060AAACAC,Orodispersible tablet,Olanzapine 10mg tablets,Oral tablet,Y
040201060AAATAT,Olanzapine 10mg orodispersible tablets sugar free,040201060AAAFAF,Orodispersible tablet,Olanzapine 10mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAATAT,Olanzapine 10mg orodispersible tablets sugar free,040201060AAAXAX,Orodispersible tablet,Olanzapine 10mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAUAU,Olanzapine 15mg orodispersible tablets sugar free,040201060AAAKAK,Orodispersible tablet,Olanzapine 15mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAUAU,Olanzapine 15mg orodispersible tablets sugar free,040201060AAALAL,Orodispersible tablet,Olanzapine 15mg tablets,Oral tablet,Y
040201060AAAUAU,Olanzapine 15mg orodispersible tablets sugar free,040201060AAAYAY,Orodispersible tablet,Olanzapine 15mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAVAV,Olanzapine 20mg orodispersible tablets sugar free,040201060AAAPAP,Orodispersible tablet,Olanzapine 20mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAVAV,Olanzapine 20mg orodispersible tablets sugar free,040201060AAAQAQ,Orodispersible tablet,Olanzapine 20mg tablets,Oral tablet,Y
040201060AAAVAV,Olanzapine 20mg orodispersible tablets sugar free,040201060AAAZAZ,Orodispersible tablet,Olanzapine 20mg orodispersible tablets,Orodispersible tablet,Y
040201060AAAWAW,Olanzapine 5mg orodispersible tablets,040201060AAAAAA,Orodispersible tablet,Olanzapine 5mg tablets,Oral tablet,Y
040201060AAAWAW,Olanzapine 5mg orodispersible tablets,040201060AAAEAE,Orodispersible tablet,Olanzapine 5mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAWAW,Olanzapine 5mg orodispersible tablets,040201060AAASAS,Orodispersible tablet,Olanzapine 5mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAXAX,Olanzapine 10mg orodispersible tablets,040201060AAACAC,Orodispersible tablet,Olanzapine 10mg tablets,Oral tablet,Y
040201060AAAXAX,Olanzapine 10mg orodispersible tablets,040201060AAAFAF,Orodispersible tablet,Olanzapine 10mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAXAX,Olanzapine 10mg orodispersible tablets,040201060AAATAT,Orodispersible tablet,Olanzapine 10mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAYAY,Olanzapine 15mg orodispersible tablets,040201060AAAKAK,Orodispersible tablet,Olanzapine 15mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAYAY,Olanzapine 15mg orodispersible tablets,040201060AAALAL,Orodispersible tablet,Olanzapine 15mg tablets,Oral tablet,Y
040201060AAAYAY,Olanzapine 15mg orodispersible tablets,040201060AAAUAU,Orodispersible tablet,Olanzapine 15mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AAAZAZ,Olanzapine 20mg orodispersible tablets,040201060AAAPAP,Orodispersible tablet,Olanzapine 20mg oral lyophilisates sugar free,Oral lyophilisate,Y
040201060AAAZAZ,Olanzapine 20mg orodispersible tablets,040201060AAAQAQ,Orodispersible tablet,Olanzapine 20mg tablets,Oral tablet,Y
040201060AAAZAZ,Olanzapine 20mg orodispersible tablets,040201060AAAVAV,Orodispersible tablet,Olanzapine 20mg orodispersible tablets sugar free,Orodispersible tablet,Y
040201060AABABA,Olanzapine 2.5mg/5ml oral suspension,040201060AAAIAI,Oral suspension,Olanzapine 2.5mg/5ml oral solution,Oral solution,Y
0402010ABAAAHAH,Quetiapine 25mg/5ml oral solution,0402010ABAABDBD,Oral solution,Quetiapine 25mg/5ml oral suspension,Oral suspension,Y
0402010ABAAAIAI,Quetiapine 12.5mg/5ml oral solution,0402010ABAABBBB,Oral solution,Quetiapine 12.5mg/5ml oral suspension,Oral suspension,Y
0402010ABAAALAL,Quetiapine 50mg/5ml oral solution,0402010ABAABEBE,Oral solution,Quetiapine 50mg/5ml oral suspension,Oral suspension,Y
0402010ABAAAMAM,Quetiapine 100mg/5ml oral solution,0402010ABAABFBF,Oral solution,Quetiapine 20mg/ml oral suspension sugar free,Oral suspension,Y
0402010ABAAAMAM,Quetiapine 100mg/5ml oral suspension,0402010ABAABFBF,Oral suspension,Quetiapine 20mg/ml oral suspension sugar free,Oral suspension,Y
0402010ABAAANAN,Quetiapine 50mg oral powder sachets,0402010ABAABHBH,Oral powder,Quetiapine 50mg tablets,Oral tablet,Y
0402010ABAABBBB,Quetiapine 12.5mg/5ml oral suspension,0402010ABAAAIAI,Oral suspension,Quetiapine 12.5mg/5ml oral solution,Oral solution,Y
0402010ABAABDBD,Quetiapine 25mg/5ml oral suspension,0402010ABAAAHAH,Oral suspension,Quetiapine 25mg/5ml oral solution,Oral solution,Y
0402010ABAABEBE,Quetiapine 50mg/5ml oral suspension,0402010ABAAALAL,Oral suspension,Quetiapine 50mg/5ml oral solution,Oral solution,Y
0402010ABAABFBF,Quetiapine 20mg/ml oral suspension sugar free,0402010ABAAAMAM,Oral suspension,Quetiapine 100mg/5ml oral solution,Oral solution,Y
0402010ABAABFBF,Quetiapine 20mg/ml oral suspension sugar free,0402010ABAAAMAM,Oral suspension,Quetiapine 100mg/5ml oral suspension,Oral suspension,Y
0402010ABAABHBH,Quetiapine 50mg tablets,0402010ABAAANAN,Oral tablet,Quetiapine 50mg oral powder sachets,Oral powder,Y
0402010ADAAAAAA,Aripiprazole 10mg tablets,0402010ADAAAEAE,Oral tablet,Aripiprazole 10mg orodispersible tablets sugar free,Orodispersible tablet,Y
0402010ADAAABAB,Aripiprazole 15mg tablets,0402010ADAAAFAF,Oral tablet,Aripiprazole 15mg orodispersible tablets sugar free,Orodispersible tablet,Y
0402010ADAAAEAE,Aripiprazole 10mg orodispersible tablets sugar free,0402010ADAAAAAA,Orodispersible tablet,Aripiprazole 10mg tablets,Oral tablet,Y
0402010ADAAAFAF,Aripiprazole 15mg orodispersible tablets sugar free,0402010ADAAABAB,Orodispersible tablet,Aripiprazole 15mg tablets,Oral tablet,Y
0402010ADAAAGAG,Aripiprazole 1mg/ml oral solution,0402010ADAAAKAK,Oral solution,Aripiprazole 1mg/ml oral solution sugar free,Oral solution,Y
0402010ADAAAKAK,Aripiprazole 1mg/ml oral solution sugar free,0402010ADAAAGAG,Oral solution,Aripiprazole 1mg/ml oral solution,Oral solution,Y
0402010C0AAAAAA,Clozapine 25mg tablets,0402010C0AAAIAI,Oral tablet,Clozapine 25mg orodispersible tablets sugar free,Orodispersible tablet,Y
0402010C0AAABAB,Clozapine 100mg tablets,0402010C0AAAKAK,Oral tablet,Clozapine 100mg orodispersible tablets sugar free,Orodispersible tablet,Y
0402010C0AAACAC,Clozapine 50mg tablets,0402010C0AAAJAJ,Oral tablet,Clozapine 50mg orodispersible tablets sugar free,Orodispersible tablet,Y
0402010C0AAADAD,Clozapine 200mg tablets,0402010C0AAALAL,Oral tablet,Clozapine 200mg orodispersible tablets sugar free,Orodispersible tablet,Y
0402010C0AAAIAI,Clozapine 25mg orodispersible tablets sugar free,0402010C0AAAAAA,Orodispersible tablet,Clozapine 25mg tablets,Oral tablet,Y
0402010C0AAAJAJ,Clozapine 50mg orodispersible tablets sugar free,0402010C0AAACAC,Orodispersible tablet,Clozapine 50mg tablets,Oral tablet,Y
0402010C0AAAKAK,Clozapine 100mg orodispersible tablets sugar free,0402010C0AAABAB,Orodispersible tablet,Clozapine 100mg tablets,Oral tablet,Y
0402010C0AAALAL,Clozapine 200mg orodispersible tablets sugar free,0402010C0AAADAD,Orodispersible tablet,Clozapine 200mg tablets,Oral tablet,Y
0402010D0AAA2A2,Chlorpromazine 100mg/5ml oral suspension,0402010D0AAAFAF,Oral suspension,Chlorpromazine 100mg/5ml oral solution,Oral solution,Y
0402010D0AAABAB,Chlorpromazine 25mg/5ml oral solution,0402010D0AAAVAV,Oral solution,Chlorpromazine 25mg/5ml oral solution sugar free,Oral solution,Y
0402010D0AAAFAF,Chlorpromazine 100mg/5ml oral solution,0402010D0AAA2A2,Oral solution,Chlorpromazine 100mg/5ml oral suspension,Oral suspension,Y
0402010D0AAAHAH,Chlorpromazine 10mg tablets,0402010D0AABDBD,Oral tablet,Chlorpromazine 10mg capsules,Oral capsule,Y
0402010D0AAAVAV,Chlorpromazine 25mg/5ml oral solution sugar free,0402010D0AAABAB,Oral solution,Chlorpromazine 25mg/5ml oral solution,Oral solution,Y
0402010D0AABDBD,Chlorpromazine 10mg capsules,0402010D0AAAHAH,Oral capsule,Chlorpromazine 10mg tablets,Oral tablet,Y
0402010J0AAA4A4,Haloperidol 5mg/5ml oral suspension,0402010J0AABCBC,Oral suspension,Haloperidol 5mg/5ml oral solution sugar free,Oral solution,Y
0402010J0AAA4A4,Haloperidol 5mg/5ml oral solution,0402010J0AABCBC,Oral solution,Haloperidol 5mg/5ml oral solution sugar free,Oral solution,Y
0402010J0AAA7A7,Haloperidol 1mg/5ml oral solution,0402010J0AABNBN,Oral solution,Haloperidol 200micrograms/ml oral solution sugar free,Oral solution,Y
0402010J0AAA7A7,Haloperidol 1mg/5ml oral suspension,0402010J0AABNBN,Oral suspension,Haloperidol 200micrograms/ml oral solution sugar free,Oral solution,Y
0402010J0AABCBC,Haloperidol 5mg/5ml oral solution sugar free,0402010J0AAA4A4,Oral solution,Haloperidol 5mg/5ml oral suspension,Oral suspension,Y
0402010J0AABCBC,Haloperidol 5mg/5ml oral solution sugar free,0402010J0AAA4A4,Oral solution,Haloperidol 5mg/5ml oral solution,Oral solution,Y
0402010J0AABNBN,Haloperidol 200micrograms/ml oral solution sugar free,0402010J0AAA7A7,Oral solution,Haloperidol 1mg/5ml oral solution,Oral solution,Y
0402010J0AABNBN,Haloperidol 200micrograms/ml oral solution sugar free,0402010J0AAA7A7,Oral solution,Haloperidol 1mg/5ml oral suspension,Oral suspension,Y
0402010K0AAALAL,Levomepromazine maleate 2.5mg/5ml oral solution,0402010K0AAARAR,Oral solution,Levomepromazine 2.5mg/5ml oral suspension,Oral suspension,Y
0402010K0AAAPAP,Levomepromazine maleate 6mg/5ml oral solution,0402010K0AAAUAU,Oral solution,Levomepromazine 6mg/5ml oral suspension,Oral suspension,Y
0402010K0AAARAR,Levomepromazine 2.5mg/5ml oral suspension,0402010K0AAALAL,Oral suspension,Levomepromazine maleate 2.5mg/5ml oral solution,Oral solution,Y
0402010K0AAAUAU,Levomepromazine 6mg/5ml oral suspension,0402010K0AAAPAP,Oral suspension,Levomepromazine maleate 6mg/5ml oral solution,Oral solution,Y
0402010S0AAADAD,Promazine 25mg/5ml oral solution,0402010S0AAALAL,Oral solution,Promazine 25mg/5ml oral suspension,Oral suspension,Y
0402010S0AAAIAI,Promazine 50mg/5ml oral solution,0402010S0AAANAN,Oral solution,Promazine 50mg/5ml oral suspension,Oral suspension,Y
0402010S0AAALAL,Promazine 25mg/5ml oral suspension,0402010S0AAADAD,Oral suspension,Promazine 25mg/5ml oral solution,Oral solution,Y
0402010S0AAANAN,Promazine 50mg/5ml oral suspension,0402010S0AAAIAI,Oral suspension,Promazine 50mg/5ml oral solution,Oral solution,Y
0402010U0AAAEAE,Sulpiride 200mg/5ml oral solution sugar free,0402010U0AAANAN,Oral solution,Sulpiride 200mg/5ml oral suspension,Oral suspension,Y
0402010U0AAAEAE,Sulpiride 200mg/5ml oral solution sugar free,0402010U0AAANAN,Oral solution,Sulpiride 200mg/5ml oral solution,Oral solution,Y
0402010U0AAANAN,Sulpiride 200mg/5ml oral suspension,0402010U0AAAEAE,Oral suspension,Sulpiride 200mg/5ml oral solution sugar free,Oral solution,Y
0402010U0AAANAN,Sulpiride 200mg/5ml oral solution,0402010U0AAAEAE,Oral solution,Sulpiride 200mg/5ml oral solution sugar free,Oral solution,Y
0402020ADAAAAAA,Aripiprazole 400mg powder and solvent for prolonged-release suspension for injection vials,0402020ADAAABAB,Powder and solvent for prolonged-release suspension for inj,Aripiprazole 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,Powder and solvent for prolonged-release suspension for inj,Y
0402020ADAAABAB,Aripiprazole 400mg powder and solvent for prolonged-release suspension for injection pre-filled syringes,0402020ADAAAAAA,Powder and solvent for prolonged-release suspension for inj,Aripiprazole 400mg powder and solvent for prolonged-release suspension for injection vials,Powder and solvent for prolonged-release suspension for inj,Y
0403010B0AAA5A5,Amitriptyline 25mg/5ml oral suspension,0403010B0AAANAN,Oral suspension,Amitriptyline 25mg/5ml oral solution sugar free,Oral solution,Y
0403010B0AAA6A6,Amitriptyline 10mg/5ml oral suspension,0403010B0AABCBC,Oral suspension,Amitriptyline 10mg/5ml oral solution sugar free,Oral solution,Y
0403010B0AAA6A6,Amitriptyline 10mg/5ml oral solution,0403010B0AABCBC,Oral solution,Amitriptyline 10mg/5ml oral solution sugar free,Oral solution,Y
0403010B0AAANAN,Amitriptyline 25mg/5ml oral solution sugar free,0403010B0AAA5A5,Oral solution,Amitriptyline 25mg/5ml oral suspension,Oral suspension,Y
0403010B0AABCBC,Amitriptyline 10mg/5ml oral solution sugar free,0403010B0AAA6A6,Oral solution,Amitriptyline 10mg/5ml oral suspension,Oral suspension,Y
0403010B0AABCBC,Amitriptyline 10mg/5ml oral solution sugar free,0403010B0AAA6A6,Oral solution,Amitriptyline 10mg/5ml oral solution,Oral solution,Y
0403010F0AAANAN,Clomipramine 50mg/5ml oral solution,0403010F0AAAQAQ,Oral solution,Clomipramine 50mg/5ml oral suspension,Oral suspension,Y
0403010F0AAAQAQ,Clomipramine 50mg/5ml oral suspension,0403010F0AAANAN,Oral suspension,Clomipramine 50mg/5ml oral solution,Oral solution,Y
0403010J0AAA6A6,Dosulepin 25mg/5ml oral suspension,0403010J0AABJBJ,Oral suspension,Dosulepin 25mg/5ml oral solution,Oral solution,Y
0403010J0AAA7A7,Dosulepin 75mg/5ml oral suspension,0403010J0AABKBK,Oral suspension,Dosulepin 75mg/5ml oral solution,Oral solution,Y
0403010J0AABJBJ,Dosulepin 25mg/5ml oral solution,0403010J0AAA6A6,Oral solution,Dosulepin 25mg/5ml oral suspension,Oral suspension,Y
0403010J0AABKBK,Dosulepin 75mg/5ml oral solution,0403010J0AAA7A7,Oral solution,Dosulepin 75mg/5ml oral suspension,Oral suspension,Y
0403010R0AAAGAG,Lofepramine 70mg/5ml oral suspension,0403010R0AAALAL,Oral suspension,Lofepramine 70mg/5ml oral suspension sugar free,Oral suspension,Y
0403010R0AAAGAG,Lofepramine 70mg/5ml oral solution,0403010R0AAALAL,Oral solution,Lofepramine 70mg/5ml oral suspension sugar free,Oral suspension,Y
0403010R0AAALAL,Lofepramine 70mg/5ml oral suspension sugar free,0403010R0AAAGAG,Oral suspension,Lofepramine 70mg/5ml oral suspension,Oral suspension,Y
0403010R0AAALAL,Lofepramine 70mg/5ml oral suspension sugar free,0403010R0AAAGAG,Oral suspension,Lofepramine 70mg/5ml oral solution,Oral solution,Y
0403010V0AAADAD,Nortriptyline 10mg tablets,0403010V0AAAWAW,Oral tablet,Nortriptyline 10mg capsules,Oral capsule,Y
0403010V0AAAEAE,Nortriptyline 25mg tablets,0403010V0AAAXAX,Oral tablet,Nortriptyline 25mg capsules,Oral capsule,Y
0403010V0AAAGAG,Nortriptyline 10mg/5ml oral suspension,0403010V0AAANAN,Oral suspension,Nortriptyline 10mg/5ml oral solution,Oral solution,Y
0403010V0AAANAN,Nortriptyline 10mg/5ml oral solution,0403010V0AAAGAG,Oral solution,Nortriptyline 10mg/5ml oral suspension,Oral suspension,Y
0403010V0AAAQAQ,Nortriptyline 25mg/5ml oral solution,0403010V0AAAVAV,Oral solution,Nortriptyline 25mg/5ml oral solution sugar free,Oral solution,Y
0403010V0AAAQAQ,Nortriptyline 25mg/5ml oral suspension,0403010V0AAAVAV,Oral suspension,Nortriptyline 25mg/5ml oral solution sugar free,Oral solution,Y
0403010V0AAASAS,Nortriptyline 50mg/5ml oral suspension,0403010V0AAATAT,Oral suspension,Nortriptyline 50mg/5ml oral solution,Oral solution,Y
0403010V0AAATAT,Nortriptyline 50mg/5ml oral solution,0403010V0AAASAS,Oral solution,Nortriptyline 50mg/5ml oral suspension,Oral suspension,Y
0403010V0AAAVAV,Nortriptyline 25mg/5ml oral solution sugar free,0403010V0AAAQAQ,Oral solution,Nortriptyline 25mg/5ml oral solution,Oral solution,Y
0403010V0AAAVAV,Nortriptyline 25mg/5ml oral solution sugar free,0403010V0AAAQAQ,Oral solution,Nortriptyline 25mg/5ml oral suspension,Oral suspension,Y
