ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
03G,HF,Heart Failure due to LVD,616,264751,0.2326714536
03G,HYP,Hypertension,34600,264751,13.068883593
03G,LD,Learning  Disabilities,1158,264751,0.4373921156
03G,MH,Mental Health,2548,264751,0.9624137397
03G,OB,Obesity,23355,264751,8.8214964249
03G,OST,Osteoporosis,300,264751,0.1133140196
03G,PAD,Peripheral Atrial Disease,2205,264751,0.832858044
03G,PC,Palliative Care,656,264751,0.2477799895
03G,RA,Rheumatoid Arthritis,1678,264751,0.6338030829
03G,SMOK,Smoking Indicators,61972,264751,23.40765474
03G,STIA,Stroke,4892,264751,1.8477739461
03G,THY,Thyroid,7098,264751,2.6810097035
03H,AF,Atrial Fibrillation,3087,168167,1.8356752514
03H,AST,Asthma,10388,168167,6.1771929094
03H,CAN,Cancer,3630,168167,2.1585685658
03H,CHD,Coronary Heart Disease,6770,168167,4.0257601075
03H,CKD,Chronic Kidney Disease,5876,168167,3.4941457004
03H,COPD,Chronic Obstructive Pulmonary Disease,3775,168167,2.244792379
03H,CVDPP,Cardiovascular Disease - Primary Prevention,5598,168167,3.3288338378
03H,DEM,Dementia,1241,168167,0.7379569119
03H,DEP,Depression,7806,168167,4.6418143869
03H,DM,Diabetes,9289,168167,5.5236758698
03H,EP,Epilepsy,1373,168167,0.8164503143
03H,HF,Heart Failure,1237,168167,0.7355783239
03H,HF,Heart Failure due to LVD,333,168167,0.1980174469
03H,HYP,Hypertension,26974,168167,16.040007849
03H,LD,Learning  Disabilities,802,168167,0.4769068842
03H,MH,Mental Health,1359,168167,0.8081252564
03H,OB,Obesity,16671,168167,9.9133599339
03H,OST,Osteoporosis,158,168167,0.0939542241
03H,PAD,Peripheral Atrial Disease,1334,168167,0.7932590817
03H,PC,Palliative Care,561,168167,0.3335969602
03H,RA,Rheumatoid Arthritis,1169,168167,0.6951423288
03H,SMOK,Smoking Indicators,44522,168167,26.474873192
03H,STIA,Stroke,3640,168167,2.1645150356
03H,THY,Thyroid,5887,168167,3.5006868173
03J,AF,Atrial Fibrillation,2479,188043,1.3183154917
03J,AST,Asthma,12875,188043,6.8468382232
03J,CAN,Cancer,3370,188043,1.7921432864
03J,CHD,Coronary Heart Disease,7386,188043,3.9278250187
03J,CKD,Chronic Kidney Disease,4383,188043,2.3308498588
03J,COPD,Chronic Obstructive Pulmonary Disease,3845,188043,2.0447450849
03J,CVDPP,Cardiovascular Disease - Primary Prevention,5478,188043,2.9131634786
03J,DEM,Dementia,1172,188043,0.6232617008
03J,DEP,Depression,10319,188043,5.4875746505
03J,DM,Diabetes,10792,188043,5.7391128625
03J,EP,Epilepsy,1116,188043,0.5934812782
03J,HF,Heart Failure,1343,188043,0.7141983483
03J,HF,Heart Failure due to LVD,312,188043,0.1659194971
03J,HYP,Hypertension,27383,188043,14.56209484
03J,LD,Learning  Disabilities,1157,188043,0.6152848019
03J,MH,Mental Health,1607,188043,0.8545917689
03J,OB,Obesity,17738,188043,9.4329488468
03J,OST,Osteoporosis,238,188043,0.1265667959
03J,PAD,Peripheral Atrial Disease,1298,188043,0.6902676515
03J,PC,Palliative Care,515,188043,0.2738735289
03J,RA,Rheumatoid Arthritis,1274,188043,0.6775046133
03J,SMOK,Smoking Indicators,47012,188043,25.000664742
03J,STIA,Stroke,3059,188043,1.6267555825
03J,THY,Thyroid,5174,188043,2.7514983275
03K,AF,Atrial Fibrillation,2853,169997,1.6782649106
03K,AST,Asthma,10053,169997,5.91363377
03K,CAN,Cancer,3750,169997,2.205921281
03K,CHD,Coronary Heart Disease,7762,169997,4.5659629288
03K,CKD,Chronic Kidney Disease,5241,169997,3.0829955823
03K,COPD,Chronic Obstructive Pulmonary Disease,3474,169997,2.0435654747
03K,CVDPP,Cardiovascular Disease - Primary Prevention,5505,169997,3.2382924405
03K,DEM,Dementia,1117,169997,0.6570704189
03K,DEP,Depression,10258,169997,6.0342241334
03K,DM,Diabetes,9913,169997,5.8312793755
03K,EP,Epilepsy,1329,169997,0.781778502
03K,HF,Heart Failure,1272,169997,0.7482484985
03K,HF,Heart Failure due to LVD,464,169997,0.2729459932
03K,HYP,Hypertension,28739,169997,16.905592452
03K,LD,Learning  Disabilities,662,169997,0.3894186368
03K,MH,Mental Health,1233,169997,0.7253069172
03K,OB,Obesity,15478,169997,9.1048665565
03K,OST,Osteoporosis,175,169997,0.1029429931
03K,PAD,Peripheral Atrial Disease,1118,169997,0.6576586646
03K,PC,Palliative Care,215,169997,0.1264728201
03K,RA,Rheumatoid Arthritis,1131,169997,0.6653058583
03K,SMOK,Smoking Indicators,45835,169997,26.96224051
03K,STIA,Stroke,3417,169997,2.0100354712
03K,THY,Thyroid,5669,169997,3.3347647311
03L,AF,Atrial Fibrillation,4365,257809,1.6931138944
03L,AST,Asthma,16754,257809,6.4986094357
03L,CAN,Cancer,5471,257809,2.1221136578
03L,CHD,Coronary Heart Disease,11121,257809,4.3136585612
03L,CKD,Chronic Kidney Disease,9320,257809,3.6150793805
03L,COPD,Chronic Obstructive Pulmonary Disease,6935,257809,2.6899759124
03L,CVDPP,Cardiovascular Disease - Primary Prevention,8231,257809,3.192673646
03L,DEM,Dementia,1998,257809,0.7749923393
03L,DEP,Depression,19978,257809,7.7491476248
03L,DM,Diabetes,13494,257809,5.2341074206
03L,EP,Epilepsy,1965,257809,0.7621921655
03L,HF,Heart Failure,2061,257809,0.7994290347
03L,HF,Heart Failure due to LVD,477,257809,0.1850206936
03L,HYP,Hypertension,40734,257809,15.800069043
03L,LD,Learning  Disabilities,1312,257809,0.5089038785
03L,MH,Mental Health,2255,257809,0.8746785411
03L,OB,Obesity,26931,257809,10.44610545
03L,OST,Osteoporosis,387,257809,0.1501111288
03L,PAD,Peripheral Atrial Disease,2181,257809,0.8459751211
03L,PC,Palliative Care,899,257809,0.3487077643
03L,RA,Rheumatoid Arthritis,1869,257809,0.7249552964
03L,SMOK,Smoking Indicators,67479,257809,26.17402806
03L,STIA,Stroke,5340,257809,2.0713008468
03L,THY,Thyroid,8134,257809,3.1550488928
03M,AF,Atrial Fibrillation,2675,118019,2.2665841941
03M,AST,Asthma,9048,118019,7.6665621637
03M,CAN,Cancer,3041,118019,2.5767037511
03M,CHD,Coronary Heart Disease,5781,118019,4.8983638228
03M,CKD,Chronic Kidney Disease,4001,118019,3.3901320974
03M,COPD,Chronic Obstructive Pulmonary Disease,2386,118019,2.021708369
03M,CVDPP,Cardiovascular Disease - Primary Prevention,3995,118019,3.3850481702
03M,DEM,Dementia,916,118019,0.7761462137
03M,DEP,Depression,7624,118019,6.4599767834
03M,DM,Diabetes,5928,118019,5.0229200383
03M,EP,Epilepsy,818,118019,0.6931087367
03M,HF,Heart Failure,1645,118019,1.3938433642
03M,HF,Heart Failure due to LVD,592,118019,0.5016141469
03M,HYP,Hypertension,19179,118019,16.250773181
03M,LD,Learning  Disabilities,547,118019,0.4634846931
03M,MH,Mental Health,1040,118019,0.8812140418
03M,OB,Obesity,11640,118019,9.8628186987
03M,OST,Osteoporosis,292,118019,0.2474177887
03M,PAD,Peripheral Atrial Disease,1150,118019,0.9744193732
03M,PC,Palliative Care,365,118019,0.3092722358
03M,RA,Rheumatoid Arthritis,955,118019,0.8091917403
03M,SMOK,Smoking Indicators,33062,118019,28.014133318
03M,STIA,Stroke,2728,118019,2.3114922174
03M,THY,Thyroid,4393,118019,3.7222820054
03N,AF,Atrial Fibrillation,9699,583890,1.6611005498
03N,AST,Asthma,36337,583890,6.2232612307
03N,CAN,Cancer,11398,583890,1.9520800151
03N,CHD,Coronary Heart Disease,21431,583890,3.6703831201
03N,CKD,Chronic Kidney Disease,18676,583890,3.1985476717
03N,COPD,Chronic Obstructive Pulmonary Disease,11514,583890,1.9719467708
03N,CVDPP,Cardiovascular Disease - Primary Prevention,13518,583890,2.3151621025
03N,DEM,Dementia,4494,583890,0.7696655192
03N,DEP,Depression,34881,583890,5.9738991933
03N,DM,Diabetes,28876,583890,4.9454520543
03N,EP,Epilepsy,4068,583890,0.6967065714
03N,HF,Heart Failure,5066,583890,0.8676291767
03N,HF,Heart Failure due to LVD,1596,583890,0.2733391563
03N,HYP,Hypertension,76226,583890,13.054856223
03N,LD,Learning  Disabilities,2739,583890,0.4690952063
03N,MH,Mental Health,4906,583890,0.840226755
03N,OB,Obesity,45143,583890,7.7314220144
03N,OST,Osteoporosis,1065,583890,0.1823973694
03N,PAD,Peripheral Atrial Disease,4187,583890,0.7170871226
03N,PC,Palliative Care,2724,583890,0.4665262293
03N,RA,Rheumatoid Arthritis,3085,583890,0.5283529432
03N,SMOK,Smoking Indicators,133967,583890,22.943876415
03N,STIA,Stroke,11921,583890,2.041651681
03N,THY,Thyroid,18771,583890,3.2148178595
03Q,AF,Atrial Fibrillation,6121,346945,1.7642565825
03Q,AST,Asthma,20231,346945,5.831183617
03Q,CAN,Cancer,8373,346945,2.4133508193
03Q,CHD,Coronary Heart Disease,12116,346945,3.4921961694
03Q,CKD,Chronic Kidney Disease,10214,346945,2.9439824756
03Q,COPD,Chronic Obstructive Pulmonary Disease,5598,346945,1.6135122282
03Q,CVDPP,Cardiovascular Disease - Primary Prevention,8727,346945,2.5153842828
03Q,DEM,Dementia,2075,346945,0.5980775051
03Q,DEP,Depression,16375,346945,4.719768263
03Q,DM,Diabetes,15070,346945,4.3436279526
03Q,EP,Epilepsy,1888,346945,0.5441784721
03Q,HF,Heart Failure,2134,346945,0.6150830823
03Q,HF,Heart Failure due to LVD,689,346945,0.1985905547
03Q,HYP,Hypertension,45719,346945,13.17759299
03Q,LD,Learning  Disabilities,1040,346945,0.2997593278
03Q,MH,Mental Health,2446,346945,0.7050108807
03Q,OB,Obesity,26635,346945,7.6770093242
03Q,OST,Osteoporosis,640,346945,0.1844672787
03Q,PAD,Peripheral Atrial Disease,2571,346945,0.7410396461
03Q,PC,Palliative Care,527,346945,0.1518972748
03Q,RA,Rheumatoid Arthritis,1996,346945,0.5753073254
03Q,SMOK,Smoking Indicators,79481,346945,22.908818401
03Q,STIA,Stroke,6595,346945,1.9008776607
03Q,THY,Thyroid,11851,346945,3.4158151868
03R,AF,Atrial Fibrillation,6160,358187,1.7197720744
03R,AST,Asthma,24501,358187,6.8402817523
03R,CAN,Cancer,7678,358187,2.1435730498
03R,CHD,Coronary Heart Disease,15408,358187,4.3016636561
03R,CKD,Chronic Kidney Disease,11202,358187,3.1274166846
03R,COPD,Chronic Obstructive Pulmonary Disease,10072,358187,2.8119390151
03R,CVDPP,Cardiovascular Disease - Primary Prevention,10569,358187,2.9506933529
03R,DEM,Dementia,2248,358187,0.6276051336
03R,DEP,Depression,20615,358187,5.7553735898
03R,DM,Diabetes,19250,358187,5.3742877324
03R,EP,Epilepsy,2603,358187,0.7267153749
03R,HF,Heart Failure,2661,358187,0.7429080341
03R,HF,Heart Failure due to LVD,431,358187,0.1203282084
03R,HYP,Hypertension,54645,358187,15.255997566
03R,LD,Learning  Disabilities,1713,358187,0.4782418122
03R,MH,Mental Health,2887,358187,0.806003568
03R,OB,Obesity,35910,358187,10.025489479
03R,OST,Osteoporosis,427,358187,0.1192114733
03R,PAD,Peripheral Atrial Disease,2935,358187,0.8194043893
03R,PC,Palliative Care,741,358187,0.2068751797
03R,RA,Rheumatoid Arthritis,2373,358187,0.6625031059
03R,SMOK,Smoking Indicators,93639,358187,26.142489817
03R,STIA,Stroke,7510,358187,2.0966701751
03R,THY,Thyroid,11980,358187,3.3446216641
03T,AF,Atrial Fibrillation,5532,243520,2.2716819974
03T,AST,Asthma,15850,243520,6.5087056505
03T,CAN,Cancer,6615,243520,2.7164093298
03T,CHD,Coronary Heart Disease,12549,243520,5.1531701708
03T,CKD,Chronic Kidney Disease,12670,243520,5.2028580815
03T,COPD,Chronic Obstructive Pulmonary Disease,5978,243520,2.4548291721
03T,CVDPP,Cardiovascular Disease - Primary Prevention,7308,243520,3.0009855453
03T,DEM,Dementia,1987,243520,0.8159494087
03T,DEP,Depression,13103,243520,5.3806668857
03T,DM,Diabetes,16814,243520,6.9045663601
03T,EP,Epilepsy,1924,243520,0.7900788436
03T,HF,Heart Failure,2519,243520,1.034411958
03T,HF,Heart Failure due to LVD,511,243520,0.2098390276
03T,HYP,Hypertension,42583,243520,17.486448752
03T,LD,Learning  Disabilities,1178,243520,0.483738502
03T,MH,Mental Health,1847,243520,0.7584592641
03T,OB,Obesity,25426,243520,10.441031537
03T,OST,Osteoporosis,409,243520,0.1679533509
03T,PAD,Peripheral Atrial Disease,2101,243520,0.8627628121
03T,PC,Palliative Care,1088,243520,0.4467805519
03T,RA,Rheumatoid Arthritis,1889,243520,0.7757063075
03T,SMOK,Smoking Indicators,71922,243520,29.534329829
03T,STIA,Stroke,6296,243520,2.585413929
03T,THY,Thyroid,9896,243520,4.0637319317
03V,AF,Atrial Fibrillation,948,72187,1.3132558494
03V,AST,Asthma,4112,72187,5.6963165113
03V,CAN,Cancer,1427,72187,1.976810229
03V,CHD,Coronary Heart Disease,2448,72187,3.3911923199
03V,CKD,Chronic Kidney Disease,1986,72187,2.751187887
03V,COPD,Chronic Obstructive Pulmonary Disease,1966,72187,2.7234820674
03V,CVDPP,Cardiovascular Disease - Primary Prevention,1962,72187,2.7179409035
03V,DEM,Dementia,498,72187,0.6898749082
03V,DEP,Depression,5273,72187,7.3046393395
03V,DM,Diabetes,3419,72187,4.7363098619
03V,EP,Epilepsy,468,72187,0.6483161788
03V,HF,Heart Failure,566,72187,0.7840746949
03V,HF,Heart Failure due to LVD,103,72187,0.142684971
03V,HYP,Hypertension,8594,72187,11.905190685
03V,LD,Learning  Disabilities,251,72187,0.3477080361
03V,MH,Mental Health,569,72187,0.7882305678
03V,OB,Obesity,6657,72187,9.2218820563
03V,OST,Osteoporosis,132,72187,0.1828584094
03V,PAD,Peripheral Atrial Disease,544,72187,0.7535982933
03V,PC,Palliative Care,104,72187,0.144070262
03V,RA,Rheumatoid Arthritis,461,72187,0.638619142
03V,SMOK,Smoking Indicators,15896,72187,22.020585424
03V,STIA,Stroke,1322,72187,1.831354676
03V,THY,Thyroid,2423,72187,3.3565600454
03W,AF,Atrial Fibrillation,6141,321461,1.9103406012
03W,AST,Asthma,18853,321461,5.864786086
03W,CAN,Cancer,7859,321461,2.4447755715
03W,CHD,Coronary Heart Disease,10739,321461,3.3406851842
03W,CKD,Chronic Kidney Disease,10344,321461,3.2178086922
03W,COPD,Chronic Obstructive Pulmonary Disease,5236,321461,1.6288134486
03W,CVDPP,Cardiovascular Disease - Primary Prevention,10534,321461,3.2769138402
03W,DEM,Dementia,2080,321461,0.6470458314
03W,DEP,Depression,20032,321461,6.2315490837
03W,DM,Diabetes,16625,321461,5.1717004551
03W,EP,Epilepsy,1738,321461,0.5406565649
03W,HF,Heart Failure,2581,321461,0.8028967744
03W,HF,Heart Failure due to LVD,373,321461,0.116032738
03W,HYP,Hypertension,47770,321461,14.860278541
03W,LD,Learning  Disabilities,1023,321461,0.3182345603
03W,MH,Mental Health,2133,321461,0.6635330569
03W,OB,Obesity,23673,321461,7.3641903683
03W,OST,Osteoporosis,403,321461,0.1253651298
03W,PAD,Peripheral Atrial Disease,1698,321461,0.5282133758
03W,PC,Palliative Care,1654,321461,0.5145258678
03W,RA,Rheumatoid Arthritis,1954,321461,0.6078497858
03W,SMOK,Smoking Indicators,78580,321461,24.444644918
03W,STIA,Stroke,5738,321461,1.7849754714
03W,THY,Thyroid,10358,321461,3.2221638084
03X,AF,Atrial Fibrillation,1690,97058,1.7412268953
03X,AST,Asthma,6290,97058,6.480661048
03X,CAN,Cancer,2149,97058,2.2141399988
03X,CHD,Coronary Heart Disease,3518,97058,3.6246368151
03X,CKD,Chronic Kidney Disease,5281,97058,5.4410764697
03X,COPD,Chronic Obstructive Pulmonary Disease,2077,97058,2.1399575512
03X,CVDPP,Cardiovascular Disease - Primary Prevention,2473,97058,2.547961013
03X,DEM,Dementia,784,97058,0.8077644295
03X,DEP,Depression,5636,97058,5.8068371489
03X,DM,Diabetes,5189,97058,5.3462877867
03X,EP,Epilepsy,775,97058,0.7984916236
03X,HF,Heart Failure,682,97058,0.7026726287
03X,HF,Heart Failure due to LVD,153,97058,0.1576377012
03X,HYP,Hypertension,15317,97058,15.781285417
03X,LD,Learning  Disabilities,566,97058,0.5831564631
03X,MH,Mental Health,712,97058,0.7335819819
03X,OB,Obesity,8992,97058,9.2645634569
03X,OST,Osteoporosis,118,97058,0.1215767891
03X,PAD,Peripheral Atrial Disease,711,97058,0.7325516701
03X,PC,Palliative Care,495,97058,0.5100043273
03X,RA,Rheumatoid Arthritis,612,97058,0.6305508047
03X,SMOK,Smoking Indicators,25368,97058,26.136949041
03X,STIA,Stroke,1917,97058,1.9751076676
03X,THY,Thyroid,3399,97058,3.5020297142
03Y,AF,Atrial Fibrillation,1900,102172,1.8596092863
03Y,AST,Asthma,6571,102172,6.4313119054
03Y,CAN,Cancer,2340,102172,2.2902556473
03Y,CHD,Coronary Heart Disease,4834,102172,4.731237521
03Y,CKD,Chronic Kidney Disease,3191,102172,3.1231648593
03Y,COPD,Chronic Obstructive Pulmonary Disease,2996,102172,2.932310222
03Y,CVDPP,Cardiovascular Disease - Primary Prevention,3332,102172,3.2611674431
03Y,DEM,Dementia,817,102172,0.7996319931
03Y,DEP,Depression,5669,102172,5.5484868653
03Y,DM,Diabetes,6733,102172,6.5898680656
03Y,EP,Epilepsy,829,102172,0.8113768939
03Y,HF,Heart Failure,1015,102172,0.9934228556
03Y,HF,Heart Failure due to LVD,276,102172,0.2701327174
03Y,HYP,Hypertension,18156,102172,17.770034843
03Y,LD,Learning  Disabilities,633,102172,0.6195435149
03Y,MH,Mental Health,889,102172,0.8701013976
03Y,OB,Obesity,8959,102172,8.7685471558
03Y,OST,Osteoporosis,202,102172,0.1977058294
03Y,PAD,Peripheral Atrial Disease,899,102172,0.8798888149
03Y,PC,Palliative Care,521,102172,0.5099244411
03Y,RA,Rheumatoid Arthritis,795,102172,0.7780996751
03Y,SMOK,Smoking Indicators,29313,102172,28.689856321
03Y,STIA,Stroke,2294,102172,2.2452335278
03Y,THY,Thyroid,3667,102172,3.5890459226
04C,AF,Atrial Fibrillation,3411,376768,0.905331663
04C,AST,Asthma,19606,376768,5.2037328011
04C,CAN,Cancer,4439,376768,1.1781786139
04C,CHD,Coronary Heart Disease,9987,376768,2.6507028198
04C,CKD,Chronic Kidney Disease,7770,376768,2.0622770511
04C,COPD,Chronic Obstructive Pulmonary Disease,5341,376768,1.4175832342
04C,CVDPP,Cardiovascular Disease - Primary Prevention,10395,376768,2.7589922711
04C,DEM,Dementia,2005,376768,0.5321577204
04C,DEP,Depression,20155,376768,5.3494458128
04C,DM,Diabetes,25671,376768,6.8134767284
04C,EP,Epilepsy,2180,376768,0.5786054017
04C,HF,Heart Failure,2593,376768,0.6882219297
04C,HF,Heart Failure due to LVD,598,376768,0.1587183625
04C,HYP,Hypertension,44217,376768,11.735869288
04C,LD,Learning  Disabilities,1743,376768,0.4626189061
04C,MH,Mental Health,3858,376768,1.0239723119
04C,OB,Obesity,30004,376768,7.9635213182
04C,OST,Osteoporosis,295,376768,0.07829752
04C,PAD,Peripheral Atrial Disease,1426,376768,0.378482249
04C,PC,Palliative Care,958,376768,0.2542678784
04C,RA,Rheumatoid Arthritis,2085,376768,0.5533909462
04C,SMOK,Smoking Indicators,79007,376768,20.969668337
04C,STIA,Stroke,4588,376768,1.2177254969
04C,THY,Thyroid,10053,376768,2.668220231
04D,AF,Atrial Fibrillation,4020,229747,1.7497508129
04D,AST,Asthma,14302,229747,6.2251084889
04D,CAN,Cancer,5473,229747,2.3821856216
04D,CHD,Coronary Heart Disease,9109,229747,3.9647960583
04D,CKD,Chronic Kidney Disease,9259,229747,4.0300852677
04D,COPD,Chronic Obstructive Pulmonary Disease,4590,229747,1.9978498087
04D,CVDPP,Cardiovascular Disease - Primary Prevention,6388,229747,2.7804497991
04D,DEM,Dementia,1579,229747,0.6872777446
04D,DEP,Depression,14984,229747,6.5219567611
04D,DM,Diabetes,11873,229747,5.1678585575
04D,EP,Epilepsy,1563,229747,0.6803135623
04D,HF,Heart Failure,1746,229747,0.7599663978
04D,HF,Heart Failure due to LVD,265,229747,0.11534427
04D,HYP,Hypertension,32037,229747,13.944469351
04D,LD,Learning  Disabilities,958,229747,0.4169804176
04D,MH,Mental Health,2019,229747,0.878792759
04D,OB,Obesity,22865,229747,9.9522518248
04D,OST,Osteoporosis,395,229747,0.1719282515
04D,PAD,Peripheral Atrial Disease,1567,229747,0.6820546079
04D,PC,Palliative Care,657,229747,0.2859667373
04D,RA,Rheumatoid Arthritis,1313,229747,0.5714982133
04D,SMOK,Smoking Indicators,57217,229747,24.904351308
04D,STIA,Stroke,4419,229747,1.9234201099
04D,THY,Thyroid,7483,229747,3.257061028
04E,AF,Atrial Fibrillation,2985,186107,1.6039160268
04E,AST,Asthma,11420,186107,6.1362549501
04E,CAN,Cancer,3945,186107,2.1197483168
04E,CHD,Coronary Heart Disease,8031,186107,4.3152595013
04E,CKD,Chronic Kidney Disease,5546,186107,2.9800061255
04E,COPD,Chronic Obstructive Pulmonary Disease,4321,186107,2.3217826304
04E,CVDPP,Cardiovascular Disease - Primary Prevention,4774,186107,2.5651909923
04E,DEM,Dementia,1417,186107,0.7613899531
04E,DEP,Depression,9743,186107,5.2351604185
04E,DM,Diabetes,9991,186107,5.3684170934
04E,EP,Epilepsy,1478,186107,0.7941667965
04E,HF,Heart Failure,1354,186107,0.7275384591
04E,HF,Heart Failure due to LVD,410,186107,0.2203033739
04E,HYP,Hypertension,29006,186107,15.585657713
04E,LD,Learning  Disabilities,1164,186107,0.6254466517
04E,MH,Mental Health,1292,186107,0.6942242903
04E,OB,Obesity,20316,186107,10.916300838
04E,OST,Osteoporosis,315,186107,0.1692574702
04E,PAD,Peripheral Atrial Disease,1129,186107,0.6066402661
04E,PC,Palliative Care,579,186107,0.3111113499
04E,RA,Rheumatoid Arthritis,1204,186107,0.6469396637
04E,SMOK,Smoking Indicators,47911,186107,25.743792549
04E,STIA,Stroke,3558,186107,1.9118034249
04E,THY,Thyroid,6465,186107,3.4738080781
04F,AF,Atrial Fibrillation,2934,275076,1.0666143175
04F,AST,Asthma,14900,275076,5.4166848435
04F,CAN,Cancer,4285,275076,1.5577513124
04F,CHD,Coronary Heart Disease,6522,275076,2.3709811107
04F,CKD,Chronic Kidney Disease,4907,275076,1.7838706394
04F,COPD,Chronic Obstructive Pulmonary Disease,3985,275076,1.4486905437
04F,CVDPP,Cardiovascular Disease - Primary Prevention,7064,275076,2.5680175661
04F,DEM,Dementia,1083,275076,0.3937093749
04F,DEP,Depression,13498,275076,4.9070075179
04F,DM,Diabetes,11482,275076,4.1741191525
04F,EP,Epilepsy,1349,275076,0.4904099231
04F,HF,Heart Failure,1253,275076,0.4555104771
04F,HF,Heart Failure due to LVD,251,275076,0.0912475098
04F,HYP,Hypertension,32993,275076,11.994139801
04F,LD,Learning  Disabilities,790,275076,0.2871933575
04F,MH,Mental Health,1812,275076,0.6587270427
04F,OB,Obesity,18065,275076,6.5672759528
04F,OST,Osteoporosis,201,275076,0.073070715
04F,PAD,Peripheral Atrial Disease,1137,275076,0.4133403132
04F,PC,Palliative Care,264,275076,0.0959734764
04F,RA,Rheumatoid Arthritis,1322,275076,0.4805944539
04F,SMOK,Smoking Indicators,55972,275076,20.347831145
04F,STIA,Stroke,2920,275076,1.061524815
04F,THY,Thyroid,6267,275076,2.2782794573
04G,AF,Atrial Fibrillation,9940,641260,1.5500732932
04G,AST,Asthma,41442,641260,6.4625892774
04G,CAN,Cancer,13842,641260,2.1585628294
04G,CHD,Coronary Heart Disease,20067,641260,3.129307925
04G,CKD,Chronic Kidney Disease,18515,641260,2.8872844088
04G,COPD,Chronic Obstructive Pulmonary Disease,11013,641260,1.7174001185
04G,CVDPP,Cardiovascular Disease - Primary Prevention,19394,641260,3.0243582946
04G,DEM,Dementia,4101,641260,0.6395221907
04G,DEP,Depression,44712,641260,6.9725228456
04G,DM,Diabetes,31041,641260,4.840626267
04G,EP,Epilepsy,3894,641260,0.6072419923
04G,HF,Heart Failure,4603,641260,0.7178055703
04G,HF,Heart Failure due to LVD,1105,641260,0.1723170009
04G,HYP,Hypertension,90516,641260,14.115335433
04G,LD,Learning  Disabilities,2563,641260,0.3996818763
04G,MH,Mental Health,5168,641260,0.8059133581
04G,OB,Obesity,51608,641260,8.0479056857
04G,OST,Osteoporosis,964,641260,0.1503290397
04G,PAD,Peripheral Atrial Disease,3870,641260,0.6034993606
04G,PC,Palliative Care,955,641260,0.1489255528
04G,RA,Rheumatoid Arthritis,3717,641260,0.5796400836
04G,SMOK,Smoking Indicators,153490,641260,23.935689112
04G,STIA,Stroke,10529,641260,1.6419237127
04G,THY,Thyroid,20266,641260,3.1603405795
04H,AF,Atrial Fibrillation,2388,129360,1.8460111317
04H,AST,Asthma,7726,129360,5.9724799011
04H,CAN,Cancer,3289,129360,2.5425170068
04H,CHD,Coronary Heart Disease,5189,129360,4.0112863327
04H,CKD,Chronic Kidney Disease,4939,129360,3.8180272109
04H,COPD,Chronic Obstructive Pulmonary Disease,2658,129360,2.0547309833
04H,CVDPP,Cardiovascular Disease - Primary Prevention,3304,129360,2.5541125541
04H,DEM,Dementia,897,129360,0.6934137291
04H,DEP,Depression,6078,129360,4.6985157699
04H,DM,Diabetes,6693,129360,5.1739332096
04H,EP,Epilepsy,1026,129360,0.793135436
04H,HF,Heart Failure,1047,129360,0.8093692022
04H,HF,Heart Failure due to LVD,233,129360,0.1801175015
04H,HYP,Hypertension,19037,129360,14.716295609
04H,LD,Learning  Disabilities,680,129360,0.5256648114
04H,MH,Mental Health,791,129360,0.6114718615
04H,OB,Obesity,12389,129360,9.5771490414
04H,OST,Osteoporosis,220,129360,0.1700680272
04H,PAD,Peripheral Atrial Disease,1020,129360,0.7884972171
04H,PC,Palliative Care,434,129360,0.3354978355
04H,RA,Rheumatoid Arthritis,813,129360,0.6284786642
04H,SMOK,Smoking Indicators,32597,129360,25.198670377
04H,STIA,Stroke,2498,129360,1.9310451453
04H,THY,Thyroid,4546,129360,3.5142238714
04J,AF,Atrial Fibrillation,6081,289614,2.0996913133
04J,AST,Asthma,18966,289614,6.5487165676
04J,CAN,Cancer,7473,289614,2.5803310613
04J,CHD,Coronary Heart Disease,12100,289614,4.1779748217
04J,CKD,Chronic Kidney Disease,12881,289614,4.4476441056
04J,COPD,Chronic Obstructive Pulmonary Disease,6107,289614,2.1086687798
04J,CVDPP,Cardiovascular Disease - Primary Prevention,9107,289614,3.1445303059
04J,DEM,Dementia,2305,289614,0.7958869392
04J,DEP,Depression,18651,289614,6.4399511073
04J,DM,Diabetes,15887,289614,5.4855773547
04J,EP,Epilepsy,2067,289614,0.7137085914
04J,HF,Heart Failure,2867,289614,0.9899383317
04J,HF,Heart Failure due to LVD,870,289614,0.3003998425
04J,HYP,Hypertension,47117,289614,16.268895841
04J,LD,Learning  Disabilities,1350,289614,0.4661376867
04J,MH,Mental Health,2559,289614,0.8835898817
04J,OB,Obesity,25204,289614,8.7026179674
04J,OST,Osteoporosis,585,289614,0.2019929976
04J,PAD,Peripheral Atrial Disease,2320,289614,0.8010662468
04J,PC,Palliative Care,2272,289614,0.7844924624
04J,RA,Rheumatoid Arthritis,1918,289614,0.6622608023
04J,SMOK,Smoking Indicators,78613,289614,27.144060715
04J,STIA,Stroke,6652,289614,2.2968502904
04J,THY,Thyroid,10373,289614,3.5816638698
04K,AF,Atrial Fibrillation,3693,354973,1.0403608162
04K,AST,Asthma,19246,354973,5.4218208145
04K,CAN,Cancer,4962,354973,1.3978527944
04K,CHD,Coronary Heart Disease,9454,354973,2.6633011525
